TARGET_B,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome,GiftCntAll_M,GiftCntCardAll_M,GiftAvgCard36_M,PromCntCard12_M,DemAge_M,DemMedHomeValue_M,DemPctVeterans_M,DemMedIncome_M,StatusCat96NK_A,StatusCat96NK_E,StatusCat96NK_F,StatusCat96NK_L,StatusCat96NK_m,DemHomeOwner_H,DemGender_F,DemGender_U,_ROLE_
1,12,1.9459101491,3.7841896339,2,2.3978952728,10,19,15.48,19,5,5.2311086169,29,51,4.7706846245,11,22,3.6375861597,A,0,0,59.427012844,F,H,4.1743872699,0,31.777502691,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,Train
1,10,1.0986122887,2.6390573296,0,1.6094379124,13,11,7.21,13.97297875,21,4.4543472963,12,30,4.0775374439,5,5,3.1354942159,A,1,49,59.427012844,F,H,4.2195077052,300,31,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.6094379124,2.1972245773,1,1.0986122887,5,6.25,5.78,5,18,3.9512437186,12,32,3.6888794541,6,15,2.7725887222,A,0,41,69,F,H,3.8286413965,700,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.0986122887,0.6931471806,0,0,20,15,15,13.97297875,18,3.4339872045,10,24,3.0910424534,4,4,2.1972245773,A,0,44,33,F,H,4.4067192473,200,31,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.0986122887,1.3862943611,1,1.3862943611,15,12,9,15,24,4.0253516907,10,28,3.6635616461,5,12,2.6390573296,A,0,43,59.427012844,F,U,4.1743872699,100,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,0.6931471806,0.6931471806,1,1.0986122887,16,16,13,16,19,3.9702919136,11,19,3.295836866,4,7,2.302585093,A,0,36,67,F,U,4.1108738642,700,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,12,1.6094379124,1.3862943611,1,0.6931471806,10,5.5,5.5,5,20,3.4657359028,13,26,3.2188758249,6,11,2.1972245773,A,0,43,70,F,H,4.189654742,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.9459101491,2.6390573296,2,1.3862943611,3,3.67,3.57,5,15,4.2341065046,12,31,4.0943445622,6,16,2.9957322736,A,0,35,59.427012844,F,U,4.0253516907,500,32,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.6094379124,3.0445224377,2,2.302585093,10,14.75,10.95,17.5,19,4.7095302013,30,51,4.6347289882,6,17,3.36729583,A,1,50,71,F,U,4.4886363697,400,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.6094379124,2.8903717579,1,2.3978952728,15,15,9.11,15,24,4.8121843554,11,33,4.248495242,6,17,3.4657359028,A,1,32,65,F,H,3.8066624898,900,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.6094379124,1.9459101491,2,1.6094379124,9,7.75,6.29,8,16,3.8066624898,15,34,3.6109179126,6,15,2.7080502011,A,1,15,60,F,H,4.5538768916,900,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,0.6931471806,2.0794415417,0,1.0986122887,15,25,14.88,13.97297875,18,4.2195077052,13,32,3.9889840466,6,6,3.0445224377,A,0,12,35,F,H,4.6249728133,800,26,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,0.6931471806,2.8332133441,0,2.1972245773,15,15,9.59,13.97297875,18,4.4543472963,12,25,4.0604430105,5,5,3.0445224377,A,1,22,43,F,H,5.081404365,0,20,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.0986122887,1.9459101491,1,1.3862943611,15,12.5,12.14,10,19,4.3307333403,14,28,3.9120230054,6,12,2.8903717579,A,0,49,34,F,U,4.2904594411,900,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.3862943611,1.0986122887,2,1.0986122887,20,14,14,15,17,3.5263605246,12,29,3.258096538,6,14,2.4849066498,A,0,35,55,F,H,4.4543472963,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,15,1.0986122887,0.6931471806,0,0,16,13,13,13.97297875,18,3.3322045102,10,23,3.0445224377,4,4,2.1972245773,A,0,35,57,F,H,4.4886363697,700,29,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.6094379124,1.9459101491,2,1.3862943611,12,12,11.29,12,16,3.7135720667,13,33,3.6109179126,6,16,2.7080502011,A,0,40,50,F,U,4.4067192473,800,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,15,0.6931471806,1.3862943611,1,1.3862943611,20,20,11.25,20,17,3.9702919136,14,31,3.6375861597,6,14,2.7080502011,A,0,34,31,F,H,4.6634390941,400,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,0.6931471806,2.3978952728,1,2.1972245773,30,30,19.55,30,20,4.6539603502,14,29,4.262679877,6,13,3.258096538,A,1,35,49,F,H,5.1179938124,600,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,26,1.0986122887,1.9459101491,1,1.6094379124,21,21,12.43,21,17,4.4659081187,15,33,4.0775374439,6,14,3.1354942159,A,1,11,66,F,H,4.3438054219,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.3862943611,2.3978952728,2,1.6094379124,10,15,11.91,15.5,5,4.2341065046,12,34,3.9702919136,6,17,3.0445224377,A,1,32,67,F,U,4.0253516907,700,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.0986122887,0.6931471806,0,0,15,12.5,12.5,13.97297875,18,3.3322045102,12,26,3.1354942159,5,5,2.302585093,A,0,12,70,F,H,4.5849674787,800,37,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,0.6931471806,1.9459101491,0,1.7917594692,25,25,18.14,13.97297875,18,4.6443908991,15,29,4.127134385,6,6,3.2188758249,A,1,47,56,F,H,4.0775374439,600,15,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.0986122887,0.6931471806,2,1.0986122887,20,17.5,17.5,17.5,21,3.5835189385,10,28,3.3322045102,4,12,2.3978952728,A,0,36,59.427012844,F,U,3.8286413965,900,28,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.0986122887,0.6931471806,1,0.6931471806,15,12.5,12.5,10,17,3.36729583,11,24,3.0910424534,4,10,2.1972245773,A,0,36,59.427012844,F,U,4.0604430105,200,37,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.0986122887,2.1972245773,2,1.7917594692,20,14.5,8.22,14.5,21,4.4426512565,12,31,3.7135720667,6,15,2.8903717579,A,1,47,59,F,H,3.8286413965,900,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,0.6931471806,1.6094379124,0,1.3862943611,16,16,12.4,13.97297875,24,4.3694478525,9,24,3.8501476017,4,4,2.8332133441,A,1,47,40,F,U,3.8501476017,300,24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,7,1.3862943611,1.3862943611,3,1.3862943611,8,6,7,6,16,3.36729583,12,25,3.1780538303,6,12,2.302585093,A,1,40,59.427012844,F,U,4.4659081187,0,30,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
1,6,1.6094379124,1.7917594692,1,0.6931471806,10,6.25,6.67,5,18,3.6888794541,13,33,3.5553480615,6,15,2.6390573296,A,1,36,59.427012844,F,U,4.1431347264,500,26,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
1,12,0.6931471806,2.7725887222,0,2.3978952728,12,12,4.63,13.97297875,18,4.8202815656,11,26,4.0604430105,4,4,3.2188758249,A,1,44,53,F,H,4.3438054219,500,24,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,12,0.6931471806,2.302585093,1,1.9459101491,14,14,10.6,14,21,4.8675344505,14,33,4.2195077052,5,13,3.3322045102,A,0,27,75,F,H,4.2046926194,100,49,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,10,0.6931471806,2.0794415417,1,1.9459101491,20,20,14,20,23,4.8520302639,10,27,4.127134385,4,11,3.258096538,A,0,35,48,F,H,4.7874917428,800,30,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.3862943611,2.9957322736,2,2.5649493575,13,12.67,8.4,12.5,16,4.7184988713,12,32,4.3307333403,5,15,3.36729583,A,1,43,51,F,H,3.7612001157,300,26,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.3862943611,1.0986122887,3,1.3862943611,15,13.67,13.67,13.67,21,3.36729583,12,25,3.1780538303,6,13,2.3978952728,A,0,40,77,F,H,4.1743872699,700,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,20,1.3862943611,1.7917594692,2,1.3862943611,15,13.33,12.5,12.5,25,3.9702919136,11,33,3.7135720667,6,17,2.8903717579,A,1,36,45,F,U,3.8712010109,200,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,0.6931471806,1.9459101491,1,1.0986122887,15,18,15,18,18,4.127134385,13,32,3.8712010109,6,16,2.9957322736,A,0,40,59.427012844,F,H,4.7957905456,200,32,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.6094379124,1.6094379124,2,1.0986122887,10,6.5,6,7.5,17,3.4965075615,12,28,3.3322045102,6,13,2.3978952728,A,0,51,63,F,H,4.0073331852,500,27,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,0.6931471806,2.302585093,1,1.9459101491,15,15,12,15,16,4.6539603502,14,33,4.2195077052,6,15,3.295836866,A,0,12,54,F,H,4.8598124044,800,32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,19,1.3862943611,1.6094379124,2,1.3862943611,10,17,16.2,17,15,3.7135720667,14,35,3.6635616461,6,16,2.7080502011,A,0,34,69,F,H,5.062595033,800,31,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,25,1.0986122887,1.7917594692,0,1.3862943611,15,15,12,13.97297875,25,4.0430512678,11,33,3.8286413965,6,6,2.9957322736,A,0,35,46,F,H,5.2040066871,300,40,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.6094379124,2.6390573296,3,2.1972245773,15,15,11.29,15,26,4.7095302013,11,30,4.189654742,5,15,3.295836866,A,1,36,61,F,H,4.127134385,400,22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,0.6931471806,2.7080502011,0,2.302585093,15,15,8,13.97297875,20,4.8520302639,11,21,4.1431347264,4,4,3.1780538303,A,1,23,27,F,U,3.9889840466,400,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,0,2.4849066498,0,1.7917594692,10,0,15.58,13.97297875,4,4.5951198501,33,33,4.521788577,7,7,3.295836866,A,1,25,53,F,H,4.262679877,900,28,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,0.6931471806,0.6931471806,0,0.6931471806,17,17,16,13.97297875,26,3.7135720667,9,29,3.4339872045,4,4,2.5649493575,A,0,17,35,F,U,4.4426512565,600,24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,30,1.0986122887,0.6931471806,0,0,25,17.5,17.5,13.97297875,19,3.295836866,13,27,3.1780538303,6,6,2.3978952728,A,0,18,53,F,H,4.0253516907,200,23,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.6094379124,1.7917594692,0,0.6931471806,7,6,5.33,13.97297875,18,4.2195077052,12,23,3.5263605246,6,6,2.5649493575,A,0,12,71,F,H,4.605170186,100,22,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.3862943611,1.7917594692,1,1.0986122887,5,11.33,11,14,19,3.9512437186,12,33,3.7376696183,5,15,2.8332133441,A,0,27,59.427012844,F,U,4.2341065046,200,40,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,0.6931471806,2.8903717579,1,2.6390573296,11,11,5.83,11,16,4.8040210447,13,31,4.3174881135,4,12,3.3322045102,A,1,40,55,F,H,4.5849674787,300,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,0.6931471806,1.0986122887,0,0.6931471806,20,20,13.33,13.97297875,21,3.7135720667,13,32,3.5263605246,6,6,2.5649493575,A,0,27,60,F,H,4.0073331852,700,40,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.6094379124,2.4849066498,1,1.3862943611,10,8.5,6.83,8,19,4.127134385,14,36,3.9889840466,6,17,3.0445224377,A,0,47,50,F,H,3.9702919136,100,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,10,1.7917594692,1.6094379124,4,1.6094379124,7,6.2,6.2,6,15,3.3322045102,13,25,3.1780538303,5,10,2.1972245773,A,1,41,61,F,H,3.6635616461,900,32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.6094379124,1.3862943611,2,1.0986122887,7,8,8,8.5,15,3.4657359028,12,24,3.1780538303,5,9,2.0794415417,A,0,39,59.427012844,F,U,4.8978398,600,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.0986122887,2.9957322736,1,2.1972245773,12,11,13.2,10,26,4.6821312271,10,30,4.4426512565,4,13,3.4657359028,A,1,36,33,F,U,3.8066624898,500,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,20,1.3862943611,1.0986122887,1,0.6931471806,20,14,14,20,21,3.4657359028,13,27,3.258096538,6,13,2.3978952728,A,0,17,59.427012844,F,U,5.0039463059,100,37,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.0986122887,4.0943445622,1,2.9444389792,16,18.5,10.47,18,17,4.7095302013,30,47,4.6539603502,6,15,3.295836866,A,1,28,59.427012844,F,U,4.3944491547,300,32,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,0.6931471806,1.0986122887,0,0.6931471806,25,25,20,13.97297875,23,3.9702919136,7,25,3.5835189385,4,4,2.6390573296,A,0,24,61,F,H,5.4424177105,300,40,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.0986122887,3.6635616461,1,2.4849066498,50,50,40,50,6,4.7095302013,35,57,4.9344739331,6,17,3.4657359028,A,1,24,79,F,U,4.5325994932,800,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.0986122887,1.3862943611,0,0.6931471806,15,16.5,14.75,13.97297875,18,4.0253516907,12,31,3.7612001157,6,6,2.9444389792,A,0,39,59.427012844,F,U,3.9120230054,700,37,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.3862943611,2.0794415417,2,1.6094379124,20,10.67,7.75,6,25,3.9512437186,11,31,3.6888794541,6,15,2.7725887222,A,1,50,34,F,U,3.8286413965,700,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,25,1.3862943611,1.7917594692,0,0,15,15,12,13.97297875,20,4.0253516907,7,28,3.6109179126,4,4,2.7080502011,A,0,38,67,F,H,4.2195077052,0,38,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,20,1.7917594692,2.3978952728,3,1.9459101491,15,9.6,7.36,7.67,15,4.0253516907,12,31,3.7841896339,5,14,2.8903717579,A,1,40,42,F,H,4.1108738642,500,31,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,10,0.6931471806,2.4849066498,0,1.9459101491,10,10,11.33,13.97297875,25,4.4067192473,10,29,4.0604430105,5,5,3.1354942159,A,1,50,59.427012844,F,U,3.6888794541,500,22,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
1,20,1.6094379124,1.6094379124,3,1.6094379124,20,18.75,19,18.33,26,3.7135720667,10,32,3.5553480615,5,16,2.7080502011,A,1,39,49,F,H,4.0604430105,800,32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.0986122887,1.0986122887,1,1.0986122887,20,50,40,50,19,3.7135720667,13,33,3.5835189385,6,16,2.7080502011,A,0,23,59.427012844,F,U,4.3307333403,800,55,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.0986122887,1.0986122887,1,0.6931471806,18,14,14.33,10,18,3.36729583,14,29,3.3322045102,6,14,2.4849066498,A,0,36,50,F,U,3.9889840466,500,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,0.6931471806,1.6094379124,0,0.6931471806,25,25,15.4,13.97297875,27,4.3307333403,9,29,3.9120230054,4,4,2.9957322736,A,0,46,48,F,U,4.1743872699,300,23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.0986122887,1.3862943611,1,1.0986122887,15,15,10.5,15,22,4.0253516907,11,30,3.7376696183,5,13,2.7080502011,A,0,49,59.427012844,F,U,4.0073331852,0,29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
1,25,1.0986122887,1.0986122887,1,0.6931471806,25,17.5,20,10,17,3.36729583,14,29,3.295836866,6,14,2.4849066498,A,0,36,43,F,U,3.8918202981,800,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,10,1.0986122887,2.7725887222,1,2.4849066498,10,10,6.88,10,23,4.8520302639,10,29,4.262679877,4,12,3.4011973817,A,1,51,63,F,H,3.8918202981,800,21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.0986122887,2.0794415417,0,1.3862943611,35,27.5,11.5,13.97297875,15,4.4998096703,13,26,3.9512437186,5,5,2.8903717579,A,0,49,55,F,U,4.0604430105,0,26,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,8,1.7917594692,2.302585093,2,1.7917594692,8,8,7.5,8,18,4.7273878187,12,31,3.9512437186,6,14,3.1354942159,A,0,36,57,F,U,3.9889840466,300,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.9459101491,2.1972245773,3,1.9459101491,6,7,5.89,6.33,15,3.9512437186,12,32,3.6888794541,6,16,2.8903717579,A,1,37,46,F,H,4.262679877,300,28,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.3862943611,2.1972245773,3,2.0794415417,36,26,15.11,26,22,4.1743872699,13,35,4.0073331852,6,17,3.0910424534,A,1,13,76,F,H,3.9889840466,800,33,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,10,1.0986122887,2.3978952728,1,2.0794415417,15,12,9.91,9,26,4.7004803658,10,20,3.6635616461,4,9,2.9444389792,A,1,46,58,F,H,4.4067192473,400,37,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,20,1.0986122887,3.3322045102,1,2.5649493575,20,20,15.54,20,21,4.8520302639,13,34,4.4886363697,6,17,3.5553480615,A,1,53,67,F,U,4.4308167988,400,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,0.6931471806,1.7917594692,0,1.0986122887,20,20,13.67,13.97297875,25,4.3307333403,11,31,4.0430512678,6,6,3.0445224377,A,0,53,59.427012844,F,U,4.1108738642,800,35,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
1,25,0.6931471806,2.8903717579,0,2.4849066498,25,25,14.5,13.97297875,24,4.8121843554,9,27,4.3040650932,4,4,3.4011973817,A,1,0,62,F,U,4.4886363697,700,31.777502691,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,Train
1,10,1.0986122887,1.3862943611,2,1.0986122887,6,12.5,9.25,12.5,20,3.4965075615,13,31,3.4657359028,6,15,2.5649493575,A,0,28,59.427012844,F,U,3.9318256327,400,45,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
1,20,0.6931471806,2.3978952728,0,1.9459101491,10,10,13.82,13.97297875,18,4.7273878187,11,27,4.189654742,4,4,3.2188758249,A,1,43,59,F,U,3.8066624898,400,34,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,0.6931471806,0.6931471806,0,0,15,15,10,13.97297875,26,3.6888794541,9,27,3.295836866,4,4,2.3978952728,A,0,47,60,F,U,3.9120230054,700,29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.0986122887,2.5649493575,2,2.3978952728,20,20,15.54,20,23,4.6347289882,12,33,4.189654742,6,16,3.3322045102,A,1,42,59.427012844,F,H,4.2341065046,900,38,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,Train
1,17,1.3862943611,2.1972245773,2,1.9459101491,17,16.33,15.44,16,24,4.3174881135,11,31,3.9702919136,6,16,3.0445224377,A,1,50,59.427012844,F,U,3.6375861597,600,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Train
0,,1.6094379124,1.6094379124,0,0,10,7.25,7,13.97297875,15,3.3322045102,13,26,3.1354942159,6,6,2.302585093,A,0,24,65,F,H,4.4998096703,0,45,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,0.6931471806,2.8332133441,0,2.6390573296,10,10,5.12,13.97297875,16,4.8598124044,14,29,4.276666119,4,4,3.3322045102,A,1,47,78,F,U,3.8712010109,100,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
1,10,1.0986122887,1.6094379124,1,1.3862943611,20,15,16,20,15,4.0430512678,16,34,3.8918202981,6,14,2.8903717579,A,0,50,47,F,H,3.8066624898,100,17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.6094379124,1.9459101491,2,1.3862943611,10,10,8,8.5,15,3.8066624898,13,31,3.5835189385,6,15,2.7080502011,A,0,21,52,F,U,4.2046926194,900,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Train
0,,0.6931471806,0.6931471806,0,0,20,20,12.5,13.97297875,27,3.6888794541,9,28,3.36729583,4,4,2.4849066498,A,0,0,49,F,H,3.4965075615,800,31.777502691,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,Train
1,9,1.6094379124,1.3862943611,2,1.0986122887,11,8.5,8.5,8,19,3.295836866,14,27,3.1780538303,6,12,2.302585093,A,1,27,68,F,H,4.1108738642,600,36,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.0986122887,2.3978952728,1,2.1972245773,10,15,8.09,10,15,4.7791234931,12,25,4.1588830834,5,10,3.295836866,A,1,25,76,F,H,3.8918202981,400,17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,10,0.6931471806,2.6390573296,1,2.5649493575,10,10,9.57,10,17,4.8598124044,7,12,3.6109179126,3,7,2.9957322736,A,1,12,77,F,H,4.6151205168,500,47,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,11,1.6094379124,1.6094379124,1,0.6931471806,12,11.75,11.4,10,15,3.5263605246,12,29,3.295836866,6,14,2.4849066498,A,0,39,66,F,H,4.0775374439,600,42,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
0,,1.0986122887,1.3862943611,1,1.3862943611,20,15,15,20,15,4.3174881135,13,29,3.8712010109,5,11,2.8903717579,A,0,17,75,F,H,4.0430512678,800,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
1,12.5,1.9459101491,2.0794415417,5,2.0794415417,4,4.33,4,4.2,16,3.8066624898,13,32,3.5835189385,6,15,2.7080502011,A,1,14,51,F,H,4.8598124044,900,36,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Train
